_index_water,_type_water,_id_water,_score_water,_source.Data.applicationType,_source.Data.applicationNo,_source.Data.oldConnectionNo,_source.Data.proposedPipeSize,_source.Data.pipeSize,_source.Data.connectionType,_source.Data.applicationStatus,_source.Data.roadCuttingArea,_source.Data.rainWaterHarvesting,_source.Data.id,_source.Data.dateEffectiveFrom,_source.Data.propertyId,_source.Data.connectionNo,_source.Data.proposedTaps,_source.Data.noOfTaps,_source.Data.workflow.action,_source.Data.waterSource,_source.Data.connectionCategory,_source.Data.connectionHolders.0.ownerType,_source.Data.connectionHolders.0.gender,_source.Data.connectionHolders.0.mobileNumber,_source.Data.connectionHolders.0.emailId,_source.Data.connectionHolders.0.locale,_source.Data.connectionHolders.0.type,_source.Data.connectionHolders.0.uuid,_source.Data.connectionHolders.0.isPrimaryOwner,_source.Data.connectionHolders.0.correspondenceAddress,_source.Data.connectionHolders.0.ownerShipPercentage,_source.Data.connectionHolders.0.permanentAddress,_source.Data.connectionHolders.0.pan,_source.Data.connectionHolders.0.relationship,_source.Data.connectionHolders.0.accountLocked,_source.Data.connectionHolders.0.institutionId,_source.Data.connectionHolders.0.lastModifiedDate,_source.Data.connectionHolders.0.lastModifiedBy,_source.Data.connectionHolders.0.fatherOrHusbandName,_source.Data.connectionHolders.0.active,_source.Data.connectionHolders.0.userName,_source.Data.connectionHolders.0.aadhaarNumber,_source.Data.connectionHolders.0.createdBy,_source.Data.connectionHolders.0.dob,_source.Data.connectionHolders.0.name,_source.Data.connectionHolders.0.permanentCity,_source.Data.connectionHolders.0.status,_source.Data.additionalDetails.adhocPenaltyComment,_source.Data.additionalDetails.adhocPenaltyReason,_source.Data.additionalDetails.adhocRebateReason,_source.Data.additionalDetails.estimationLetterDate,_source.Data.additionalDetails.adhocRebate,_source.Data.additionalDetails.detailsProvidedBy,_source.Data.additionalDetails.locality,_source.Data.additionalDetails.estimationFileStoreId,_source.Data.additionalDetails.sanctionFileStoreId,_source.Data.additionalDetails.adhocRebateComment,_source.Data.additionalDetails.adhocPenalty,_source.Data.additionalDetails.appCreatedDate,_source.Data.additionalDetails.initialMeterReading,_source.Data.roadType,_source.Data.connectionExecutionDate,_source.Data.meterInstallationDate,_source.Data.meterId,_source.Data.tenantId,_source.Data.status,_source.Data.plumberInfo.0.licenseNo,_source.Data.plumberInfo.0.mobileNumber,_source.Data.plumberInfo.0.auditDetails.lastModifiedTime,_source.Data.plumberInfo.0.auditDetails.lastModifiedBy,_source.Data.plumberInfo.0.name,_source.Data.plumberInfo.0.id,_source.Data.workflow.assignes.0,_source.Data.roadCuttingInfo.0.roadType,_source.Data.roadCuttingInfo.0.roadCuttingArea,_source.Data.roadCuttingInfo.0.auditDetails.lastModifiedTime,_source.Data.roadCuttingInfo.0.auditDetails.createdBy,_source.Data.roadCuttingInfo.0.auditDetails.lastModifiedBy,_source.Data.roadCuttingInfo.0.auditDetails.createdTime,_source.Data.roadCuttingInfo.0.id,_source.Data.roadCuttingInfo.0.status,_source.Data.roadCuttingInfo.1.roadType,_source.Data.roadCuttingInfo.1.roadCuttingArea,_source.Data.roadCuttingInfo.1.auditDetails.lastModifiedTime,_source.Data.roadCuttingInfo.1.auditDetails.createdBy,_source.Data.roadCuttingInfo.1.auditDetails.lastModifiedBy,_source.Data.roadCuttingInfo.1.auditDetails.createdTime,_source.Data.roadCuttingInfo.1.id,_source.Data.roadCuttingInfo.1.status,_source.Data.roadCuttingInfo.2.roadType,_source.Data.roadCuttingInfo.2.roadCuttingArea,_source.Data.roadCuttingInfo.2.auditDetails.lastModifiedTime,_source.Data.roadCuttingInfo.2.auditDetails.createdBy,_source.Data.roadCuttingInfo.2.auditDetails.lastModifiedBy,_source.Data.roadCuttingInfo.2.auditDetails.createdTime,_source.Data.roadCuttingInfo.2.id,_source.Data.roadCuttingInfo.2.status,_source.Data.roadCuttingInfo.3.roadType,_source.Data.roadCuttingInfo.3.roadCuttingArea,_source.Data.roadCuttingInfo.3.auditDetails.lastModifiedTime,_source.Data.roadCuttingInfo.3.auditDetails.createdBy,_source.Data.roadCuttingInfo.3.auditDetails.lastModifiedBy,_source.Data.roadCuttingInfo.3.auditDetails.createdTime,_source.Data.roadCuttingInfo.3.id,_source.Data.roadCuttingInfo.3.status,_index_meter,_type_meter,_id_meter,_score_meter,_source.Data.meterStatus,_source.Data.currentReadingDate,_source.Data.currentReading,_source.Data.lastReading,_source.Data.billingPeriod,_source.Data.lastReadingDate
water-services,general,11dd5df4-5c5e-4e96-b258-867bd134b874pg.citya,1,NEW_WATER_CONNECTION,WS_AP/1013/2020-21/000198,,0.5,0.5,Metered,CONNECTION_ACTIVATED,444.0,,11dd5df4-5c5e-4e96-b258-867bd134b874,0.0,f03e4d31-0435-4b4a-8eb8-5d0412b1c98e,WS/1013/2020-21/000071,4,5.0,ACTIVATE_CONNECTION,GROUND.WELL,,NONE,FEMALE,7903553472,,,CITIZEN,f1b94167-6d44-442d-9f2e-231fcc822983,,TEST,,,,,False,,1602804588000.0,1,ed,True,7903553472,,1692,923702400000.0,srishti,,ACTIVE,,,,1602784671864.0,,Self,JLC476,21bcd5d1-90f5-4154-8ef0-dc9a6a54ec0a,0cb77eb7-3817-4760-8a5e-80c1bd2b9334,,,1602783038333.0,3333.0,BMPREMIXROAD,1602181799000.0,1602181799000.0,444,pg.citya,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meter-services,general,6aaff519-493b-42e8-a6ae-46022fbc60baWS/1013/2020-21/000071,1,Working,1602181799000,3333.0,3333.0,08/10/2020 - 08/10/2020,1602181799000
water-services,general,a2d18b19-67e0-42fa-a0f2-f64ff609d49apg.citya,1,MODIFY_WATER_CONNECTION,WS_AP/1013/2020-21/000203,,0.5,0.5,Metered,APPROVED,444.0,,a2d18b19-67e0-42fa-a0f2-f64ff609d49a,1602786599000.0,f03e4d31-0435-4b4a-8eb8-5d0412b1c98e,WS/1013/2020-21/000071,4,5.0,APPROVE_CONNECTION,GROUND.WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,JLC476,,,,,1602784833790.0,3333.0,BMPREMIXROAD,1602181799000.0,1602181799000.0,444,pg.citya,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meter-services,general,6aaff519-493b-42e8-a6ae-46022fbc60baWS/1013/2020-21/000071,1,Working,1602181799000,3333.0,3333.0,08/10/2020 - 08/10/2020,1602181799000
water-services,general,aaafba0b-070b-4ebd-8d49-d7a519da3e47pg.citya,1,NEW_WATER_CONNECTION,WS_AP/1013/2020-21/000194,,0.75,0.75,Metered,CONNECTION_ACTIVATED,67.0,,aaafba0b-070b-4ebd-8d49-d7a519da3e47,0.0,a0f35df6-ef23-4b36-b9d9-62d2b1695a59,WS/1013/2020-21/000068,13,12.0,ACTIVATE_CONNECTION,SURFACE.LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602780094818.0,,Self,JLC477,85af4034-ef5c-4b33-8011-cf5622d72c16,dd036606-afc1-437e-9dd2-2a75caa7364a,,,1602779935129.0,1.0,BMPREMIXROAD,1602008999000.0,1601922599000.0,34567,pg.citya,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meter-services,general,588223d4-3a2a-49ed-936e-1a22312feb5eWS/1013/2020-21/000068,1,Working,1602008999000,1.0,1.0,06/10/2020 - 06/10/2020,1602008999000
water-services,general,ffc9c8aa-b5a2-409a-891a-a8fa2375c6depg.citya,1,MODIFY_WATER_CONNECTION,WS_AP/1013/2020-21/000213,,0.75,0.75,Metered,INITIATED,67.0,,ffc9c8aa-b5a2-409a-891a-a8fa2375c6de,0.0,a0f35df6-ef23-4b36-b9d9-62d2b1695a59,WS/1013/2020-21/000068,13,12.0,INITIATE,SURFACE.LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,JLC477,,,,,1603271744610.0,1.0,BMPREMIXROAD,1602008999000.0,1601922599000.0,34567,pg.citya,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meter-services,general,588223d4-3a2a-49ed-936e-1a22312feb5eWS/1013/2020-21/000068,1,Working,1602008999000,1.0,1.0,06/10/2020 - 06/10/2020,1602008999000
water-services,general,b7558557-4acd-4391-9c7f-93de11916886pg.citya,1,NEW_WATER_CONNECTION,WS_AP/1013/2020-21/000188,,1.0,0.75,Metered,CONNECTION_ACTIVATED,67.0,,b7558557-4acd-4391-9c7f-93de11916886,0.0,09be1f12-4fe1-4fae-b699-04e98ced46a1,WS/1013/2020-21/000066,23,12.0,ACTIVATE_CONNECTION,GROUND.WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602747575600.0,,Self,JLC476,ac89b390-2481-4a29-a02d-fa8f0bdf1015,77fdcd8d-de76-4d7d-9561-0baabca1414f,,,1602747395785.0,1.0,BMPREMIXROAD,1601404199000.0,1601404199000.0,34,pg.citya,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meter-services,general,b8574718-a7d4-4738-a67e-e6dfa31d4591WS/1013/2020-21/000066,1,Working,1601490599000,28.0,1.0,29/09/2020 - 30/09/2020,1601404199000
water-services,general,b7558557-4acd-4391-9c7f-93de11916886pg.citya,1,NEW_WATER_CONNECTION,WS_AP/1013/2020-21/000188,,1.0,0.75,Metered,CONNECTION_ACTIVATED,67.0,,b7558557-4acd-4391-9c7f-93de11916886,0.0,09be1f12-4fe1-4fae-b699-04e98ced46a1,WS/1013/2020-21/000066,23,12.0,ACTIVATE_CONNECTION,GROUND.WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602747575600.0,,Self,JLC476,ac89b390-2481-4a29-a02d-fa8f0bdf1015,77fdcd8d-de76-4d7d-9561-0baabca1414f,,,1602747395785.0,1.0,BMPREMIXROAD,1601404199000.0,1601404199000.0,34,pg.citya,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meter-services,general,aa30e621-87e8-47e6-9118-ea242d1a51b6WS/1013/2020-21/000066,1,Working,1601404199000,1.0,1.0,29/09/2020 - 29/09/2020,1601404199000
water-services,general,04b7f7ed-0f59-450f-9b98-5bbae7319c83pg.citya,1,MODIFY_WATER_CONNECTION,WS_AP/1013/2020-21/000191,,1.0,0.75,Metered,APPROVED,67.0,,04b7f7ed-0f59-450f-9b98-5bbae7319c83,1602786599000.0,a0f35df6-ef23-4b36-b9d9-62d2b1695a59,WS/1013/2020-21/000066,23,12.0,APPROVE_CONNECTION,GROUND.WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,JLC477,,,,,1602764988000.0,1.0,BMPREMIXROAD,1601404199000.0,1601404199000.0,34,pg.citya,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meter-services,general,b8574718-a7d4-4738-a67e-e6dfa31d4591WS/1013/2020-21/000066,1,Working,1601490599000,28.0,1.0,29/09/2020 - 30/09/2020,1601404199000
water-services,general,04b7f7ed-0f59-450f-9b98-5bbae7319c83pg.citya,1,MODIFY_WATER_CONNECTION,WS_AP/1013/2020-21/000191,,1.0,0.75,Metered,APPROVED,67.0,,04b7f7ed-0f59-450f-9b98-5bbae7319c83,1602786599000.0,a0f35df6-ef23-4b36-b9d9-62d2b1695a59,WS/1013/2020-21/000066,23,12.0,APPROVE_CONNECTION,GROUND.WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,JLC477,,,,,1602764988000.0,1.0,BMPREMIXROAD,1601404199000.0,1601404199000.0,34,pg.citya,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meter-services,general,aa30e621-87e8-47e6-9118-ea242d1a51b6WS/1013/2020-21/000066,1,Working,1601404199000,1.0,1.0,29/09/2020 - 29/09/2020,1601404199000
water-services,general,7bbbe78c-32f5-49a9-84d9-a6a3715123eapg.citya,1,NEW_WATER_CONNECTION,WS_AP/1013/2020-21/000302,,0.25,0.75,Metered,CONNECTION_ACTIVATED,0.0,,7bbbe78c-32f5-49a9-84d9-a6a3715123ea,0.0,7004b8eb-aac0-4dda-a4bd-15fabf5c3aed,WS/1013/2020-21/000104,2,2.0,ACTIVATE_CONNECTION,GROUND.HANDPUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614786271339.0,,Self,JLC1088,b8ed78dd-ce9e-4e99-9e06-222b082b4663,6d137cc3-f082-4e71-a574-473867aaf0d7,,,1614785179320.0,500.0,,1612204199000.0,1612204199000.0,34,pg.citya,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meter-services,general,99b927fb-fc72-467c-8a69-23363492c88cWS/1013/2020-21/000104,1,Working,1612636199000,1000.0,500.0,01/02/2021 - 06/02/2021,1612204199000
water-services,general,7bbbe78c-32f5-49a9-84d9-a6a3715123eapg.citya,1,NEW_WATER_CONNECTION,WS_AP/1013/2020-21/000302,,0.25,0.75,Metered,CONNECTION_ACTIVATED,0.0,,7bbbe78c-32f5-49a9-84d9-a6a3715123ea,0.0,7004b8eb-aac0-4dda-a4bd-15fabf5c3aed,WS/1013/2020-21/000104,2,2.0,ACTIVATE_CONNECTION,GROUND.HANDPUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614786271339.0,,Self,JLC1088,b8ed78dd-ce9e-4e99-9e06-222b082b4663,6d137cc3-f082-4e71-a574-473867aaf0d7,,,1614785179320.0,500.0,,1612204199000.0,1612204199000.0,34,pg.citya,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meter-services,general,9a431761-8576-44e0-82f2-3eda19378965WS/1013/2020-21/000104,1,Working,1612204199000,500.0,500.0,01/02/2021 - 01/02/2021,1612204199000
